artistname,birthdate,death date,birthplace,country of residence,biography text,nationality
Nouri al-Rawi,1925,,"Rawa, Iraq","Baghdad, Iraq","Al-Rawi graduated from the Institute of Fine Arts in Baghdad, 1959 and received a scholarship to study art in Yugoslavia in 1962. He was a curator at the Iraqi Museum of Art in Baghdad, and Chair of the Department of Fine Arts at the Institute of Fine Arts in Baghdad. Also an art historian and critic, he has written many essays and several books, and hosted Iraq's first and main television show about art for thirty years.",Iraqi
Mohammed Ben Ali Rbati,1861,1939,"Rabat, Morocco","London, Marseille, and Tangiers","Largely self-taught, R'bati made his way through a lifetime of professions while maintaining a tremendous art output. A laborer in Marseille, a cook in Spain, and a bank employee, he eventually turned art-dealer in Tangiers as he used his experiences and travels as the main source of inspiration. Upon his return to Morocco, Rbati was warmly received due to the support and patronage of the Director-General of Fine Arts.",Moroccan
Georges Sabbagh,1887,1951,"Alexandria, Egypt",France,"Sabbagh was educated by French Jesuit priests in Cairo before he left for Paris at the age of twenty-one. He was the first Egyptian to study at the Académie du Louvre, where he was taught by Maurice Denis, Paul Sérusier, and Félix Vallotton. He had his first exhibition in Paris in 1916. Sabbagh became a French citizen in 1930, but he maintained his ties with Egypt, traveling frequently to paint and teach art in Cairo. In 1933 the Egyptian government commissioned him to catalogue state-owned French treasures, and in Algeria in 1944 he curated an exhibition of French art gathered from museums in Cairo, Alexandria, Beirut, and Jerusalem.",Egyptian / French
Atta Sabri,1913,,"Kirkuk, Iraq","Baghdad, Iraq",In 1937 Sabri won a government scholarship to study at the Accademia di Belle Arti in Rome.,Iraqi
Nazar Salim,1925,1983,"Ankara, Turkey","Baghdad, Iraq","Salim graduated with a law degree and then studied at the Institute of Fine Arts in Baghdad for three years. He left Baghdad for his work with the Foreign Service, taking up postings in many places, including Damascus and Khartoum. Salim continued to devote himself the arts with sporadic showings notably in Bonn and Stockholm. A major retrospective of his work was held in 1979. He was the brother of Jawad and Naziha Salim.",Iraqi
Nziha Salim,1921,2008,"Ankara, Turkey","Baghdad, Iraq","Salim studied painting and graduated in 1946 from the Academy of Fine Arts in Baghdad. She continued her studies with a higher diploma in fine arts at the École Nationale Supérieure des Beaux-Arts in Paris, where she studied with Fernand Léger in 1951. Salim then returned to Baghdad. She taught at the Institute of Fine Arts and exhibited with the Baghdad Modern Art Group throughout the 1950s. She was the sister of Jawad Salim.",Iraqi
Faisal Samira,1955,,Bahrain,Bahrain,Samra graduated with honors from the École National Supérieure des Beaux-Arts in Paris in 1980. Then he moved to Saudia Arabia where he worked first as a stage designer then a graphic designer. In 1987 he returned to Paris to become a fine art and graphic consultant at the Institut du Monde Arabe. Samra has since lived and worked in Beirut and taught drawing and painting at the College of Fine Arts in Amman.,Bahraini
Jewad Selim,1919,1961,"Ankara, Turkey","Baghdad, Iraq","Salim was awarded government scholarships to study sculpture in Paris, Rome and London and was a founding member of the Institute of Fine Arts in Baghdad in 1949 and head of its Sculpture Department. In 1958 he was also a founding member of the Baghdad Modern Art Group with Shakir Hassan Al Said, and a founding member of the Society of Iraqi Plastic Arts. A landmark in Baghdad is Selim's Nasb al-Hurriyah (Monument of Freedom), created in commemoration of the 1958 revolution, became an important symbol around which a new Iraqi national identity was formed.",Iraqi
Lorna Selim,1928,,"Sheffield, United Kingdom","Wales, United Kingdom","Salim graduated from the Slade School of Fine Art in London in 1948. There she met Jewad Selim, and they married in Baghdad in 1950. Selim taught drawing and painting at the Girls College and at the Architecture Department of the Engineering College, in Baghdad. During the 1950s she exhibited her paintings with the Pioneers Group, including Faiq Hassan and Ismail al-Shaikhly, as well as with the Baghdad Modern Art Group.",British
Ismail al-Shaikhly,1924,2002,"Baghdad, Iraq","Baghdad, Iraq",In 1945 al-Shaikhly completed his studies at the Institute of Fine Arts in Baghdad and continued his studies in Paris at the École Nationale Supérieure des Beaux-Arts in 1951. He was a founding member of the Pioneers Group with Faiq Hassan and also a founder of the Society of Iraqi Plastic Arts in 1956. He later became the Director General of the Directorate of Plastic Arts in Baghdad.,Iraqi
Saad Shakir,1935,2005,"Baghdad, Iraq","Baghdad, Iraq","Shakir completed a degree in Ceramics from the Institute of Fine Arts, Baghdad in 1959. Following that he received a scholarship to study ceramics at the Central School of Art and Design in London in 1961, where he later worked and lectured. In 1966 Shakir moved back to Baghdad and became a ceramics instructor at the Institute of Fine Arts until 2001. He is known for his iconic ceramic murals mounted in various locations around Baghdad.",Iraqi
Hassan Sharif,1951,,"Dubai, United Arab Emirates","Dubai, United Arab Emirates","Sharif began his career as a caricaturist in the United Arab Emirates. He went to the United Kingdom and completed an art foundation course at Warwickshire College near Birmingham, and then received a degree in fine art and design at Byam Shaw School of Art in London in 1984. He returned to Dubai, where he founded the Emirates Fine Art Society the same year. He also founded the Group of Five with four other artists, and soon after he founded the Art Atelier in the Youth Theater in 1987.",Emirati
Laila Shawa,1940,,"Gaza, Palestine","London, United Kingdom","Shawa first studied art at the Leonardo da Vinci Art Institute in Cairo from 1957 to 1958. In 1964 she pursued further studies at the Accademia di Belle Arti in Rome. Upon her return to Gaza, she taught art to children at UNRWA schools and was a UNESCO education lecturer. She moved to Beirut, where she took up illustrating children's books, continuing to contribute to Gaza by designing and installing stained-glass windows at the Rashad Shawa Cultural Centre established by her father. In 1987 she moved to London in order to devote herself solely to her art practice.",Palestinian
Muhamed Foad el-Shazly,1946,,"Qena, Egypt","Sharjah, United Arab Emirates","El-Shazly graduated in 1968 with a degree in Architecture from the Faculty of Fine Arts, Helwan University in Egypt. He has lived and worked in the United Arab Emirates for many years as an art instructor and architect. He has designed over thirty permanent school theaters, school landscapes, and the VIP area in the Abu Dhabi airport. He is also chief engineer at Egyptian Television in Cairo. Among the numerous recognitions el-Shazly has garnered for his work, in 1973 he received the Cairo Salon Prize, and in 1984 the Sheikh Khalifa Bin Zayed Prize.",Egyptian
Akram Shukri,1910,1986,"Baghdad, Iraq","Baghdad, Iraq","Shukri was one of the first Iraqi to study art in England. He graduated with a degree in Arts in 1930 before returning to Iraq. In 1941 he became the president of the Art Friends Society in Baghdad and in 1947, Shukri took up a position as King Faisal's personal art instructor. One of the pioneers of Iraqi modern art, Shukri played an active role in the Union of Iraqi Artists in the late 1950s, and was its President from 1963 to 1964.",Iraqi
Gazbia Sirry,1925,,"Cairo, Egypt","Cairo, Egypt","Gazbia Sirry received a BA in painting and a diploma in art education from the Higher Institute of Fine Arts for Girls in Cairo in 1948. She completed her postgraduate study at the Slade School of Fine Art at University College London in 1955. On her return to Cairo, Sirry became a member of several art groups, including the International Association of Art Critics, and the Egyptian Society for Graphic Artists. She received numerous international awards such as the Prix de Rome in 1952, and a fellowship at the Huntington Hartford Foundation Fellowship Award in California in 1965. She received Egypt's State Merit Award in 2000.",Egyptian
Ali Talib,1944,,"Basra, Iraq","Amman, Jordan and The Hague, the Netherlands","Talib studied at the College of Arts in Baghdad from 1961 to 1966. In 1980 he completed his MA in Graphic Design in Cairo. Talib taught at the Academy of Fine Arts in Baghdad, Iraq from 1980 to 1990 and at the Al-Yarmouk University in Jordan from 1991 to 1997. He was a founding member of the Innovationists and the Shadow Group in Baghdad. He won First Prize at the 1986 Baghdad International Festival of Plastic Art, and at the 1995 Sharjah Biennial.",Iraqi
Vera Tamari,1945,,Jerusalem,"Ramallah, Palestine","Tamari graduated from the Beirut College for Women in Lebanon in 1966. She studied ceramics at the Istituto Statale per la Ceramica in Florence in 1972 and earned her M.Phil. in Islamic Art and Architecture from At Oxford University Tamari earned her Ph.D. in Islamic Art and Architecture in 1984. She has exhibited with the League of Palestinian Artists and is a founding member of the New Vision group and the Wasiti Art Center in Jerusalem. Tamari has published articles on Islamic ceramics, and is a coauthor of The Palestinian Village Home, 1989. She currently teaches Islamic Art and Architecture at Birzeit University.",Palestinian
Madiha Umar,1908,2005,"Aleppo, Syria",Baghdad and New York,"Umar grew up in Baghdad and was one of the first women in Iraq to receive a government scholarship to study art in Europe. She graduated from the Maria Grey Training College in London in 1933. She taught painting at the Teachers Training School for Women, Baghdad, and was later became head of the Arts Department. In 1942 Umar moved to Washington, D.C., where she studied art education at George Washington University and earned an MFA from the Corcoran School of Art in 1959. Umar later returned to Baghdad and taught at the Academy of Fine Arts. She was a member of the One Dimension Group founded in 1971.",Syrian / Iraqi
Adham Wanly,1908,1959,"Alexandria, Egypt","Alexandria, Egypt","Wanly trained under the Italian artist Otorino Becchi and later taught painting in his own studio, and at the Faculty of Fine Arts in Alexandria. After his mentor's death in 1934, Wanly set up a private studio, and in 1942 set up another with his brother Seif that was accessible to any person interested in art and its applications.",Egyptian
