artistname,birthdate,death date,birthplace,country of residence,biography text,nationality
Marwan Kassab Bachi,1934,,"Damascus, Syria","Berlin, Germany","Bachi completed his studies in Arabic Literature at Damascus University in 1957, and then pursued painting at the Academy of Arts in Berlin from 1957 to 1962. He was a professor of oil painting at the Faculty of Fine Arts in Berlin from 1977 to 2002. Bachi has been a member of the Akademie der Künste since 1993, and now teaches at the Hochschule der Künste in Berlin.",Syrian
Housny el-Banani,1912,1988,"Cairo, Egypt","Cairo, Egypt","Banani graduated from the Royal School of Fine Arts in Cairo in 1937 with a degree in art education. Three years later, in 1940 el-Banani completed his Master's degree from the Accademia di Belle Arti in Rome. He then returned to Cairo, joining the College of Fine Arts as a teacher in 1951, eventually becoming the head of the Painting department.",Egyptian
Kamal Boullata,1942,,"Jerusalem, Palestine","Menton, France","An art historian and artist, Boullata graduated from the Accademia di Belle Arti in Rome in 1965 and studied at the Corcoran Museum Art School in Washington, D.C. in 1971. Boullata was the recipient in 1993 of a Fulbright Senior Scholar Fellowship to research Islamic art in Morocco. He has published journal articles and essays on contemporary and modern Arab art in both English and Arabic, as well as several books, including Palestinian Art: From 1850 to the Present in 2009.",Palestinian
Ahmed Cherkaoui,1934,1967,"Boujad, Morocco","Paris, France","Cherkaoui studied graphics at the École des Métiers d'Art from 1956 to 1959, and then studied at the École Nationale Supérieure des Beaux-Arts in Paris for a year, before moving to Warsaw in 1961 to continue his studies in fine art. Cherkaoui returned to Paris, where he won a research grant to study Moroccan signs and symbols and participated in the Salon de Mai. He traveled frequently between Europe and North Africa.",Moroccan
Saloua Raouda Choucair,1916,,"Beirut, Lebanon","Beirut, Lebanon","Choucair began her studies at the American University in Beirut in philosophy. She informally studied under two leading Lebanese artists, Omar Onsi and Mustafa Farrouk. From 1948 to 1952 she continued her studies at the École Nationale Supérieure des Beaux-Arts in Paris. Choucair won the grand prize at the Alexandria Biennial in 1968, and in 1970 began exhibiting in the Salon de Mai in Paris. She later went on to teach at the Lebanese University beginning in 1977, and lectured at the American University in Beirut in 1986.",Lebanese
Daoud Corm,1852,1930,"Ghosta, Lebanon","Beirut, Lebanon","In 1870 Corm went to Rome to train under the Italian court painter Roberto Bompiani at the Accademia di San Luca. Pope Plus IX commissioned a portrait from him, and soon was appointed the court painter for King Leopold II of Belgium. Corm returned to Lebanon in 1878 and traveled widely within the Arab region, painting portraits of dignitaries. Corm received many national awards during his lifetime, including the Cavalier Medal of Saint Gregory, the Ottoman Medal of Glory First Degree, and the Lebanese Order of Merit.",Lebanese
Georges Corm,1896,1971,"Beirut, Lebanon","Alexandria, Cairo, and Beirut","Georges Corm, son of the renowned painter Daoud Corm, studied at the École Nationale Supérieure des Beaux-Arts in Paris from 1919 to 1921, and won the Gold Medal at the Beirut Exhibition Fair in 1921. In 1928 he moved to Egypt, where he worked on portrait commissions and taught painting. By 1957 Corm returned to his native Beirut and received the Lebanese Order of the Cedar in 1958.",Lebanese
Salem al-Dabbagh,1941,,"Mosul, Iraq","Baghdad, Iraq","Al-Dabbagh obtained a degree in painting from the Institute of Fine Art in Baghdad in 1965. From 1967 to 1968 he studied graphic design in Lisbon, Portugal. He presently teaches at the Institute of Fine Art in Baghdad.",Iraqi
Brahim Dahak,1931,2004,"Gafsa, Tunisia","Tunis and Sidi Bou Said, Tunisia","Dahak studied at the École des Beaux Arts de Tunis in 1950 and in Rome at the Accademia di Belle Arti in 1961 under the artist Amerigo Bartoli. Dahak established the Foundation for Graphic Arts in Tunis, and generated wider acceptance for graphic art as a form in Tunisia. Dahak was considered a member of the École de Tunis.",Tunisian
Saliba Douaihy,1915,1994,"Ehden, Lebanon","Beirut, New York, and Paris","As a young man Douaihy apprenticed with Lebanese painter Habib Srour for four years, and then graduated in 1932 from the École Nationale Supérieure des Arts Décoratifs in Paris. He returned home and established his own studio in Beirut, and intermittently painted frescoes and designed stained glass for the Church of Diman, and later other churches in Lebanon. In 1950, Douaihy immigrated to New York. He was awarded the Lebanese National Order of the Cedar in 1968 and the Medaglia d'Oro of the Accademia d'Italia delle Arti e del Lavoro in 1980.",Lebanese
